e,变量定义,main.go,relative,位置,33,line,33,access,private,type,bool
v,文件名,main.go,main.go
v,变量,listLangs,listLangs
e,变量定义,main.go,listLangs,位置,34,line,34,access,private,type,bool
v,文件名,main.go,main.go
v,变量,fields,fields
e,变量定义,main.go,fields,位置,35,line,35,access,private,type,string
v,文件名,main.go,main.go
v,变量,extraSymbols,extraSymbols
e,变量定义,main.go,extraSymbols,位置,36,access,private,type,string,line,36
v,文件名,main.go,main.go
v,变量,flags,flags
e,变量定义,main.go,flags,位置,40,line,40,access,private
v,文件名,main.go,main.go
v,函数,init,init
e,函数定义,main.go,init,位置,44,access,private,signature,(),line,44
v,文件名,main.go,main.go
v,函数,walkDir,walkDir
e,函数定义,main.go,walkDir,位置,64,signature,"(names []string, dir string)",type,"[]string, error",line,64,access,private
v,文件名,main.go,main.go
v,函数,recurseNames,recurseNames
e,函数定义,main.go,recurseNames,位置,79,signature,(names []string),type,"[]string, error",line,79,access,private
v,文件名,main.go,main.go
v,函数,readNames,readNames
e,函数定义,main.go,readNames,位置,96,signature,(names []string),type,"[]string, error",line,96,access,private
v,文件名,main.go,main.go
v,函数,getFileNames,getFileNames
e,函数定义,main.go,getFileNames,位置,126,line,126,access,private,signature,(),type,"[]string, error"
v,文件名,main.go,main.go
v,函数,main,main
e,函数定义,main.go,main,位置,146,signature,(),line,146,access,private
v,文件名,main.go,main.go
v,函数,csvWriter,csvWriter
e,函数定义,main.go,csvWriter,位置,270,line,270,access,private,signature,"(filename string, csvData [][]string)"
v,文件名,main.go,main.go
v,函数,graphWriter,graphWriter
e,函数定义,main.go,graphWriter,位置,289,signature,"(filename string, graphData Graph)",line,289,access,private
v,文件名,main.go,main.go
v,函数,createMetaTags,createMetaTags
e,函数定义,main.go,createMetaTags,位置,321,signature,(),type,[]string,line,321,access,private
v,文件名,parser.go,parser.go
v,包,main,main
e,包含,main,parser.go,位置,1,line,1
v,文件名,parser.go,parser.go
v,包,fmt,fmt
e,依赖,parser.go,fmt,位置,4,line,4
v,文件名,parser.go,parser.go
v,包,go/ast,go/ast
e,依赖,parser.go,go/ast,位置,5,line,5
v,文件名,parser.go,parser.go
v,包,go/parser,go/parser
e,依赖,parser.go,go/parser,位置,6,line,6
v,文件名,parser.go,parser.go
v,包,go/token,go/token
e,依赖,parser.go,go/token,位置,7,line,7
v,文件名,parser.go,parser.go
v,包,os,os
e,依赖,parser.go,os,位置,8,line,8
v,文件名,parser.go,parser.go
v,包,path/filepath,path/filepath
e,依赖,parser.go,path/filepath,位置,9,line,9
v,文件名,parser.go,parser.go
v,包,strings,strings
e,依赖,parser.go,strings,位置,10,line,10
v,文件名,parser.go,parser.go
v,字段,fset,fset
e,字段定义,parser.go,fset,位置,15,line,15,access,private,ctype,tagParser,type,*token.FileSet
v,文件名,parser.go,parser.go
v,字段,tags,tags
e,字段定义,parser.go,tags,位置,16,access,private,ctype,tagParser,type,[]Tag,line,16
v,文件名,parser.go,parser.go
v,字段,types,types
e,字段定义,parser.go,types,位置,17,ctype,tagParser,type,[]string,line,17,access,private
v,文件名,parser.go,parser.go
v,字段,relative,relative
e,字段定义,parser.go,relative,位置,18,line,18,access,private,ctype,tagParser,type,bool
v,文件名,parser.go,parser.go
v,字段,basepath,basepath
e,字段定义,parser.go,basepath,位置,19,line,19,access,private,ctype,tagParser,type,string
v,文件名,parser.go,parser.go
v,字段,extraSymbols,extraSymbols
e,字段定义,parser.go,extraSymbols,位置,20,line,20,access,private,ctype,tagParser,type,FieldSet
v,文件名,parser.go,parser.go
v,类型,tagParser,tagParser
e,类型定义,parser.go,tagParser,位置,14,line,14,access,private,type,struct
v,文件名,parser.go,parser.go
v,函数,Parse,Parse
e,函数定义,parser.go,Parse,位置,25,line,25,access,public,signature,"(filename string, relative bool, basepath string, extra FieldSet)",type,"[]Tag, error"
v,文件名,parser.go,parser.go
v,方法,parsePackage,parsePackage
e,方法定义,parser.go,parsePackage,位置,53,access,private,signature,(f *ast.File),type,string,ctype,tagParser,line,53
v,文件名,parser.go,parser.go
v,方法,parseImports,parseImports
e,方法定义,parser.go,parseImports,位置,59,ctype,tagParser,line,59,access,private,signature,(f *ast.File)
v,文件名,parser.go,parser.go
v,方法,parseDeclarations,parseDeclarations
e,方法定义,parser.go,parseDeclarations,位置,70,line,70,access,private,signature,"(f *ast.File, pkgName string)",ctype,tagParser
v,文件名,parser.go,parser.go
v,方法,parseFunction,parseFunction
e,方法定义,parser.go,parseFunction,位置,95,line,95,access,private,signature,"(f *ast.FuncDecl, pkgName string)",ctype,tagParser
v,文件名,parser.go,parser.go
v,方法,parseTypeDeclaration,parseTypeDeclaration
e,方法定义,parser.go,parseTypeDeclaration,位置,137,line,137,access,private,signature,"(ts *ast.TypeSpec, pkgName string)",ctype,tagParser
v,文件名,parser.go,parser.go
v,方法,parseValueDeclaration,parseValueDeclaration
e,方法定义,parser.go,parseValueDeclaration,位置,166,line,166,access,private,signature,"(v *ast.ValueSpec, pkgName string)",ctype,tagParser
v,文件名,parser.go,parser.go
v,方法,parseStructFields,parseStructFields
e,方法定义,parser.go,parseStructFields,位置,196,signature,"(name string, s *ast.StructType)",ctype,tagParser,line,196,access,private
v,文件名,parser.go,parser.go
v,方法,parseInterfaceMethods,parseInterfaceMethods
e,方法定义,parser.go,parseInterfaceMethods,位置,220,line,220,access,private,signature,"(name string, s *ast.InterfaceType)",ctype,tagParser
v,文件名,parser.go,parser.go
v,方法,createTag,createTag
e,方法定义,parser.go,createTag,位置,244,line,244,access,private,signature,"(name string, pos token.Pos, tagType TagType)",type,Tag,ctype,tagParser
v,文件名,parser.go,parser.go
v,方法,belongsToReceiver,belongsToReceiver
e,方法定义,parser.go,belongsToReceiver,位置,263,line,263,access,private,signature,(types *ast.FieldList),type,"string, bool",ctype,tagParser
v,文件名,parser.go,parser.go
v,函数,getTypes,getTypes
e,函数定义,parser.go,getTypes,位置,290,line,290,access,private,signature,"(fields *ast.FieldList, includeNames bool)",type,string
v,文件名,parser.go,parser.go
v,函数,getType,getType
e,函数定义,parser.go,getType,位置,330,access,private,signature,"(node ast.Node, star bool)",type,string,line,330
v,文件名,parser.go,parser.go
v,函数,getAccess,getAccess
e,函数定义,parser.go,getAccess,位置,371,type,string,line,371,access,private,signature,(name string)
v,文件名,parser_test.go,parser_test.go
v,包,main,main
e,包含,main,parser_test.go,位置,1,line,1
v,文件名,parser_test.go,parser_test.go
v,包,fmt,fmt
e,依赖,parser_test.go,fmt,位置,4,line,4
v,文件名,parser_test.go,parser_test.go
v,包,path/filepath,path/filepath
e,依赖,parser_test.go,path/filepath,位置,5,line,5
v,文件名,parser_test.go,parser_test.go
v,包,regexp,regexp
e,依赖,parser_test.go,regexp,位置,6,line,6
v,文件名,parser_test.go,parser_test.go
v,包,runtime,runtime
e,依赖,parser_test.go,runtime,位置,7,line,7
v,文件名,parser_test.go,parser_test.go
v,包,sort,sort
e,依赖,parser_test.go,sort,位置,8,line,8
v,文件名,parser_test.go,parser_test.go
v,包,strconv,strconv
e,依赖,parser_test.go,strconv,位置,9,line,9
v,文件名,parser_test.go,parser_test.go
v,包,testing,testing
e,依赖,parser_test.go,testing,位置,10,line,10
v,文件名,parser_test.go,parser_test.go
v,变量,goVersionRegexp,goVersionRegexp
